Noun,user agent
"settlement,colony,outpost,encampment,hamlet,commune,village,kainga,kibbutz,peopling,plantation,post,pueblo,rancheria,terramare,werf,establishment,habitation,inhabitancy,neighborhood,neighbourhood,principality,residence,suburb,town,township,trading post,small town,municipality,district,parish,collective,cooperative,urban area,dorp,wick,jaghir,vill,townlet,bourg,crossroads,homestead,co-op,fellowship,farm,kolkhoz,ashram,commonage,communal settlement,commonality,collective farm,rank and file,family,small village,whistle-stop"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"membership,belonging,associateship,clanship,integration,association,cap,cloth,enrollment,enrolment,fellowship,participation,seat,shirt,whip,affiliation,assimilation,inclusion,admission,attachment,bond,connection,involvement,sense of belonging,affinity,link,social bond,belongingness,sense of community,tie,union,friendship,alliance,relationship,nexus,relation,network,coupling,marriage,interrelationship,coalition,liaison,partnership,connective,tie-in,strong bond,hookup"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"parish,parishioners,churchgoers,congregation,church,flock,fold,archdiocese,bethel,believers,worshipers,followers,faithful,brethren,adherents,crowd,following,assembly,brothers and sisters,fellowship,disciples,laity,gathering,audience,jamaat,laymen,laypeople,laywomen,communicants,host,souls,conventicle,multitude,loyal members,worshippers,devotees,converts,votaries,participants,congregants,Church,church membership"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"social fabric,social connection,sense of community,social contract"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"friary,abbey,monastery,cloister,priory,convent,hermitage,house,brotherhood,building,fraternity,nunnery,religious house,religious community,coenoby,coenobium,charterhouse,cell,religious foundation,lamasery,ashram,beguinage,cenoby,cenobium,priorate,order,sanctuary,retreat,temple,ministry,chapter house,vihara,tekke,school"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"civic,civil,public,local,municipal,city,communal,metropolitan,town,urban,national,borough,oppidan,domestic,district,social,state,neighbourhood,neighborhood,home,regional,internal,provincial,civilian,village,parish,neighbothood,council,communistic,communalist,burghal,native,resident,non-military,societal,government,federal,official,nationalized,nationalised,constitutional,governmental,democratic,parochial,country,state-owned,state-run,public-sector,publicly owned,area,divisional,bounded,territorial,geographical,interior,sectional,small-town,parish-pump,central,downtown,inland,nonrural,interurban,intraurban,main,citified,megalopolitan,homemade,vicinal,political,midtown,ceremonial,locally produced,formal,big-city,homegrown,cosmopolitan,stately,majestic,imperial,royal,home-made,home-grown,urbane,intramural,mainland,modern,not foreign,not international,suburban,townified,dorp,popular,towny,townish,inner-city,built-up,non-rural,densely populated"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"social,communal,public,civic,civil,societal,general,group,collective,common,popular,shared,community-based,mutual,joint,pooled,collaborative,united,combined,cooperative,concerted,conjoint,communistic,for all,sociable,allied,civilized,amalgamated,merged,human,civilised,corporate,associated,reciprocal,interconnected,uncompetitive,collegial,open,unrestricted,accessible,mass,available,neighbourhood,neighborhood,free,intermutual,conjunct,accessible to all,without charge,free-for-all,free for all,open-door,not private,not exclusive,free to all,open to the public"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"family-oriented,family,childsafe,wholesome,family-friendly,family-centric,PG-rated,child-friendly,kid-friendly,PG,family-centered,kid-safe,family-inclined,family-motivated,age appropriate,child friendly,family friendly"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
"local,nearby,near,neighborhood,neighbourhood,neighboring,neighbouring,accessible,close,convenient,handy,vernacular,at hand,close by,in the area,proximate,adjacent,nigh,adjoining,imminent,impending,immediate,abutting,contiguous,approaching,alongside,walkable,in the neighbourhood of,not far from,a stone's throw away,nearest,next-door,in close proximity,within reach of,close at hand,around the corner,within spitting distance,at close quarters,within walking distance,hard by,warm,close-up,within close range of,just round the corner,within sniffing distance,under one's nose,across the street,next,nearly,within earshot,in spitting distance,give or take a little,in the vicinity of,near at hand,on your doorstep,in the ball park,near-at-hand,a hop, skip and a jump away,cheek by jowl,within sight,within striking distance,upcoming"," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
," Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
